com.samsung.shealth.activity.day_summary,6100041,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,22740000,2019-01-18 07:00:01.345,5897.72,117241,7371,4587604,1547769600000,eL5K8TBQJK,4704845,128,com.sec.android.app.shealth,2019-01-19 07:00:00.823,180000,4154f56f-11a6-4aec-8cfd-c89d323e48d6,4154f56f-11a6-4aec-8cfd-c89d323e48d6.extra_data.json,281.94003,
0,60,31260000,2019-04-09 05:00:01.166,8235.92,85598,10544,6616231,1554768000000,eL5K8TBQJK,6701829,185,com.sec.android.app.shealth,2019-04-10 03:32:30.726,420000,8943cb5e-2edc-4d40-b56a-ba93b5888126,8943cb5e-2edc-4d40-b56a-ba93b5888126.extra_data.json,398.2998,
0,60,33960000,2019-04-23 06:00:00.378,5134.298,56244,6419,4114654,1555977600000,eL5K8TBQJK,4170898,113,com.sec.android.app.shealth,2019-04-24 06:01:16.738,300000,66f91dfb-0a19-45ce-a9f2-d9c1479e42b3,66f91dfb-0a19-45ce-a9f2-d9c1479e42b3.extra_data.json,240.84996,
0,60,27299999,2019-07-07 05:00:00.961,1116.5298,17600,1322,852426,1562457600000,eL5K8TBQJK,870026,23,com.sec.android.app.shealth,2019-07-08 06:46:43.735,49358,f7ccbe73-bf00-4512-916c-6690f0e03fa1,f7ccbe73-bf00-4512-916c-6690f0e03fa1.extra_data.json,53.51,
0,60,21240000,2019-07-28 05:00:00.884,6587.408,18393,9622,6281053,1564272000000,eL5K8TBQJK,6299446,173,com.sec.android.app.shealth,2019-07-29 04:36:37.937,180000,a4199331-ecdb-4c34-80ec-4b0330a310b6,a4199331-ecdb-4c34-80ec-4b0330a310b6.extra_data.json,317.74078,
0,60,23040000,2019-01-25 07:00:01.365,3275.9392,36800,4020,2594510,1548374400000,eL5K8TBQJK,2631310,71,com.sec.android.app.shealth,2019-01-26 06:53:09.036,60000,5d27be30-23ff-4249-aa98-31bd091e0983,5d27be30-23ff-4249-aa98-31bd091e0983.extra_data.json,158.52998,
0,60,22320000,2019-05-30 06:00:00.369,4883.5493,51200,6043,3863024,1559174400000,eL5K8TBQJK,3914224,106,com.sec.android.app.shealth,2019-05-31 04:36:34.540,180000,e8585dcb-8752-4276-b863-932673f36f31,e8585dcb-8752-4276-b863-932673f36f31.extra_data.json,228.82994,
0,60,22440000,2019-05-06 06:00:00.634,2511.82,30079,3125,1988603,1557100800000,eL5K8TBQJK,2018682,55,com.sec.android.app.shealth,2019-05-07 05:32:47.814,180000,a762ca51-8ece-46f8-b546-eb00c03c85a2,a762ca51-8ece-46f8-b546-eb00c03c85a2.extra_data.json,117.319984,
0,-1,-1,2019-01-10 08:19:36.852,0.0,0,0,0,1545264000000,eL5K8TBQJK,0,0,com.sec.android.app.shealth,2019-01-10 08:19:36.852,0,6cc31c15-9c66-497f-b78c-16ccdaf7cdb6,6cc31c15-9c66-497f-b78c-16ccdaf7cdb6.extra_data.json,0.0,
0,60,21900000,2019-01-23 07:00:00.558,2691.69,31706,3351,2141321,1548201600000,eL5K8TBQJK,2173027,58,com.sec.android.app.shealth,2019-01-24 03:53:01.387,120000,5a3231eb-39a5-4607-b863-5054a9ce8f58,5a3231eb-39a5-4607-b863-5054a9ce8f58.extra_data.json,126.70997,
0,60,14280000,2019-03-13 07:00:00.511,4199.1714,18800,5344,3521063,1552435200000,eL5K8TBQJK,3539863,96,com.sec.android.app.shealth,2019-03-14 07:01:41.854,60000,f2b2205b-2678-4f77-a8ac-4eeac9ce3cbd,f2b2205b-2678-4f77-a8ac-4eeac9ce3cbd.extra_data.json,199.39996,
0,60,31920000,2019-04-19 05:00:00.474,9255.339,43100,11895,7543179,1555632000000,eL5K8TBQJK,7586279,208,com.sec.android.app.shealth,2019-04-20 05:34:44.830,420000,b259f1c3-9e5c-4767-ae62-d0b86c60a46c,b259f1c3-9e5c-4767-ae62-d0b86c60a46c.extra_data.json,428.81995,
0,60,23460000,2019-01-16 07:00:01.589,4840.5103,55318,6071,3840954,1547596800000,eL5K8TBQJK,3896272,106,com.sec.android.app.shealth,2019-01-17 06:37:42.071,360000,52a1c35b-3ebc-4ab5-a55f-a528ac25a2b4,52a1c35b-3ebc-4ab5-a55f-a528ac25a2b4.extra_data.json,228.52998,
0,60,22020000,2019-04-12 06:00:00.374,3981.659,61118,4990,3171548,1555027200000,eL5K8TBQJK,3232666,88,com.sec.android.app.shealth,2019-04-13 04:53:21.210,120000,31d8c76d-8a9f-4f17-adf9-0cdd6818e750,31d8c76d-8a9f-4f17-adf9-0cdd6818e750.extra_data.json,190.97997,
0,60,22140000,2019-02-26 07:00:00.487,2310.0203,14637,2938,1891093,1551139200000,eL5K8TBQJK,1905730,51,com.sec.android.app.shealth,2019-02-27 06:53:53.524,120000,8815a45a-5b17-4fd8-ab10-2d5b0ac81cd7,8815a45a-5b17-4fd8-ab10-2d5b0ac81cd7.extra_data.json,109.99,
0,-1,-1,2019-01-10 08:19:36.590,0.0,0,0,0,1544745600000,eL5K8TBQJK,0,0,com.sec.android.app.shealth,2019-01-10 08:19:36.590,0,3fb21b11-84e0-40f0-9cd9-a504bbd8e955,3fb21b11-84e0-40f0-9cd9-a504bbd8e955.extra_data.json,0.0,
0,60,21780000,2019-01-15 07:00:00.583,3489.1697,29526,4478,2897005,1547510400000,eL5K8TBQJK,2926531,80,com.sec.android.app.shealth,2019-01-16 13:35:09.593,120000,b56cc4cb-662d-47c9-ba1b-2125f28e24c1,b56cc4cb-662d-47c9-ba1b-2125f28e24c1.extra_data.json,167.83994,
0,60,27000000,2019-09-17 06:00:00.658,3977.9287,14000,5319,3482954,1568678400000,eL5K8TBQJK,3496954,96,com.sec.android.app.shealth,2019-09-18 13:35:21.266,180000,3e5c0610-a754-4ecf-ab5e-192755b185bb,3e5c0610-a754-4ecf-ab5e-192755b185bb.extra_data.json,186.93007,
0,60,27960000,2019-06-16 06:00:00.405,4788.3184,28505,6033,3920919,1560643200000,eL5K8TBQJK,3949424,108,com.sec.android.app.shealth,2019-06-17 05:48:11.519,180000,8f6522c7-db8a-40a7-95e0-700a4eb2a608,8f6522c7-db8a-40a7-95e0-700a4eb2a608.extra_data.json,228.53998,
0,60,32460000,2019-03-30 07:00:00.400,5043.6685,69600,6260,4015857,1553904000000,eL5K8TBQJK,4085457,111,com.sec.android.app.shealth,2019-03-31 07:10:07.289,120000,430a0eef-22db-47c9-a77f-cc51a627b392,430a0eef-22db-47c9-a77f-cc51a627b392.extra_data.json,236.04993,
0,60,36300000,2019-01-27 07:00:00.505,6977.64,13151,9147,5934362,1548547200000,eL5K8TBQJK,5947513,163,com.sec.android.app.shealth,2019-01-29 08:16:47.097,664842,0a494e1a-df0e-4297-bbd3-baecccb1aa27,0a494e1a-df0e-4297-bbd3-baecccb1aa27.extra_data.json,352.21,
0,60,39180000,2019-07-13 06:00:00.688,5357.0913,55200,6604,4310791,1562976000000,eL5K8TBQJK,4365991,118,com.sec.android.app.shealth,2019-07-14 06:11:31.684,60000,fc7ebc6c-82a0-4a3c-9c3e-e89f24f41102,fc7ebc6c-82a0-4a3c-9c3e-e89f24f41102.extra_data.json,251.94989,
0,60,21660000,2019-09-15 06:00:00.700,5512.615,32400,7351,4794823,1568505600000,eL5K8TBQJK,4827223,131,com.sec.android.app.shealth,2019-09-16 14:50:05.081,120000,d21a65f5-33f4-47c8-b405-5136124b9d65,d21a65f5-33f4-47c8-b405-5136124b9d65.extra_data.json,263.53003,
0,60,9540000,2019-09-23 05:00:00.533,6394.11,42489,9009,5698598,1569196800000,eL5K8TBQJK,5741087,156,com.sec.android.app.shealth,2019-09-24 05:57:11.532,712600,7a92c629-4f3c-4ec8-ad6a-597cfd76f75b,7a92c629-4f3c-4ec8-ad6a-597cfd76f75b.extra_data.json,306.11688,
0,60,16380000,2019-11-26 06:00:00.915,3858.506,5600,5205,3303201,1574726400000,eL5K8TBQJK,3308801,91,com.sec.android.app.shealth,2019-11-27 05:35:01.541,480000,b4fc96e2-6828-4cef-98a9-9cca5ad43afb,b4fc96e2-6828-4cef-98a9-9cca5ad43afb.extra_data.json,179.89803,
0,60,21660000,2019-09-20 05:00:01.331,6907.6694,49511,9293,5541281,1568937600000,eL5K8TBQJK,5590792,153,com.sec.android.app.shealth,2019-09-21 07:55:20.802,480000,ef26ad53-f35b-442f-866e-34fa1e83a1a3,ef26ad53-f35b-442f-866e-34fa1e83a1a3.extra_data.json,321.30994,
0,60,18960000,2019-12-05 06:00:00.843,7312.4565,59116,9755,6010339,1575504000000,eL5K8TBQJK,6069455,166,com.sec.android.app.shealth,2019-12-06 08:15:10.700,360000,0fc7e5a7-fc83-4774-ab86-b86733e306c2,0fc7e5a7-fc83-4774-ab86-b86733e306c2.extra_data.json,343.62003,
0,60,22020000,2019-02-24 07:00:00.431,3994.69,28377,5065,3317828,1550966400000,eL5K8TBQJK,3346205,91,com.sec.android.app.shealth,2019-02-25 06:52:52.338,180000,d256db76-662e-41c9-a2e2-8b4393a7a036,d256db76-662e-41c9-a2e2-8b4393a7a036.extra_data.json,190.89005,
0,60,34200000,2019-06-01 06:00:01.686,5847.4204,78682,7212,4632417,1559347200000,eL5K8TBQJK,4711099,130,com.sec.android.app.shealth,2019-06-02 05:25:20.253,60000,b79fb40f-4b0c-4091-9954-a23ab17b7121,b79fb40f-4b0c-4091-9954-a23ab17b7121.extra_data.json,276.26,
0,60,49020000,2019-07-18 06:00:00.754,1836.0098,27200,2297,1464642,1563408000000,eL5K8TBQJK,1491842,40,com.sec.android.app.shealth,2019-07-26 07:36:19.814,60000,e30c5dab-ceaf-41a0-86b9-757b06d7d4d2,e30c5dab-ceaf-41a0-86b9-757b06d7d4d2.extra_data.json,88.42999,
