com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2020-01-14 22:11:17.210,4797.73,5971,0,1551398400000,6.638889,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.210,9c2c6626-b072-4e75-bdbe-565a146b2fe1.binning_data.json,9c2c6626-b072-4e75-bdbe-565a146b2fe1,233.28,com.sec.android.app.shealth,
2020-01-14 22:11:17.199,7164.48,8700,0,1549670400000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.199,15d00110-3f4d-4085-a064-3535edab0a9e.binning_data.json,15d00110-3f4d-4085-a064-3535edab0a9e,325.86,com.sec.android.app.shealth,
2020-01-14 22:11:17.188,2322.04,2839,0,1549238400000,4.138889,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.188,7d7f95dc-cc46-474d-a740-e11a9721d9d4.binning_data.json,7d7f95dc-cc46-474d-a740-e11a9721d9d4,111.02,com.sec.android.app.shealth,
2020-01-14 22:11:17.187,4394.45,4752,0,1548892800000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.187,22aceca2-bd4e-4863-b51a-f77f84fbbd8f.binning_data.json,22aceca2-bd4e-4863-b51a-f77f84fbbd8f,222.14,com.sec.android.app.shealth,
2020-01-14 22:11:17.213,3066.71,3707,0,1551916800000,6.944445,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.213,4e797b2e-6f14-4cdb-bc5d-460db35c2aee.binning_data.json,4e797b2e-6f14-4cdb-bc5d-460db35c2aee,148.44,com.sec.android.app.shealth,
2020-01-14 22:11:17.217,4199.17,5344,0,1552435200000,3.6944444,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.217,ceea449a-e848-4435-b205-e8764039c41a.binning_data.json,ceea449a-e848-4435-b205-e8764039c41a,199.4,com.sec.android.app.shealth,
2020-01-14 22:11:17.199,2403.59,3061,0,1549756800000,3.4166667,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.199,9506e91f-bc2e-446d-a664-d5abbe9f67d7.binning_data.json,9506e91f-bc2e-446d-a664-d5abbe9f67d7,118.369995,com.sec.android.app.shealth,
2020-01-14 22:11:17.197,2346.71,2945,0,1549411200000,5.694445,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.197,05ee0fbb-efd6-43df-8791-67c036ad5552.binning_data.json,05ee0fbb-efd6-43df-8791-67c036ad5552,117.149994,com.sec.android.app.shealth,
2020-01-14 22:11:17.219,3155.73,4020,0,1552953600000,3.2139065,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.219,ca2ab097-4b88-42c4-8bdc-66377824381f.binning_data.json,ca2ab097-4b88-42c4-8bdc-66377824381f,150.87999,com.sec.android.app.shealth,
2020-01-14 22:11:17.175,4364.64,5550,0,1547424000000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.175,dfec1813-cab8-4fd6-81b9-aa114a043bc5.binning_data.json,dfec1813-cab8-4fd6-81b9-aa114a043bc5,211.5,com.sec.android.app.shealth,
2020-01-14 22:11:17.203,8869.7,10984,0,1550275200000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.203,cbec3a68-c614-4ee6-955b-2f6460606a5d.binning_data.json,cbec3a68-c614-4ee6-955b-2f6460606a5d,413.25,com.sec.android.app.shealth,
2020-01-14 22:11:17.200,3241.83,4036,0,1549929600000,4.8055553,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.200,1c7899e6-075c-446b-adab-33e7c2a3ed6e.binning_data.json,1c7899e6-075c-446b-adab-33e7c2a3ed6e,161.72,com.sec.android.app.shealth,
2020-01-14 22:11:17.202,4029.23,4871,0,1550188800000,6.9444447,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.202,2c8f67d6-9a5f-41a7-924e-a849c380f221.binning_data.json,2c8f67d6-9a5f-41a7-924e-a849c380f221,192.82999,com.sec.android.app.shealth,
2020-01-14 22:11:17.222,3879.47,4967,0,1553472000000,6.847187,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.222,2c85b1be-e45c-4820-9c13-8abd0b38c8a6.binning_data.json,2c85b1be-e45c-4820-9c13-8abd0b38c8a6,186.02998,com.sec.android.app.shealth,
2020-01-14 22:11:17.206,2563.36,3197,0,1550707200000,4.638889,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.206,f8feef3a-7d0c-4444-adee-abf867d6753b.binning_data.json,f8feef3a-7d0c-4444-adee-abf867d6753b,117.49999,com.sec.android.app.shealth,
2020-01-14 22:11:17.204,4006.72,5164,0,1550448000000,5.6666665,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.204,44434713-b8cc-434e-9879-245fdee05678.binning_data.json,44434713-b8cc-434e-9879-245fdee05678,184.45,com.sec.android.app.shealth,
2020-01-14 22:11:17.225,2628.67,3262,0,1553990400000,3.6944442,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.225,f1e41e77-e50b-4727-a534-6f0a14162682.binning_data.json,f1e41e77-e50b-4727-a534-6f0a14162682,124.74,com.sec.android.app.shealth,
2020-01-14 22:11:17.209,2053.48,2573,0,1551225600000,6.8317075,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.209,52036636-9c07-4867-998b-61786147bff4.binning_data.json,52036636-9c07-4867-998b-61786147bff4,101.689995,com.sec.android.app.shealth,
2020-01-14 22:11:17.206,2640.45,3380,0,1550793600000,4.0790625,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.206,a299b368-f2ea-4069-8c9e-e9e4582fa139.binning_data.json,a299b368-f2ea-4069-8c9e-e9e4582fa139,125.899994,com.sec.android.app.shealth,
2020-01-14 22:11:17.228,4038.04,5073,0,1554508800000,3.6944444,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.228,4919f8ed-3cf6-4d01-962a-aec6315734d1.binning_data.json,4919f8ed-3cf6-4d01-962a-aec6315734d1,191.69,com.sec.android.app.shealth,
2020-01-14 22:11:17.207,3994.69,5065,0,1550966400000,3.8258588,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.207,022455e2-33fb-4af8-b1c0-9ddd21b7d699.binning_data.json,022455e2-33fb-4af8-b1c0-9ddd21b7d699,190.89,com.sec.android.app.shealth,
2020-01-14 22:11:17.210,2223.61,2747,0,1551312000000,3.6944444,jpgso+yMpj,com.sec.android.app.shealth,2020-01-14 22:11:17.210,24a94f65-db35-4ad2-a360-a975ebd54007.binning_data.json,24a94f65-db35-4ad2-a360-a975ebd54007,107.189995,com.sec.android.app.shealth,
