com.samsung.shealth.sleep,6100041,2
efficiency,extra_data,original_efficiency,original_bed_time,has_sleep_data,original_wake_up_time,quality,com.samsung.health.sleep.start_time,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.datauuid,com.samsung.health.sleep.custom,com.samsung.health.sleep.end_time,com.samsung.health.sleep.comment,com.samsung.health.sleep.deviceuuid
84.0,168008e8-21b8-63dd-0e67-a41f19f1d53b.extra_data.json,,,0,,,1577442240000,com.sec.android.app.shealth,1577469854645,1577469854645,UTC-0600,168008e8-21b8-63dd-0e67-a41f19f1d53b,,1577469780000,,hytsFLPcD3,
86.0,74df259b-0b81-10b0-7da9-1a6f9d27ded8.extra_data.json,,,0,,,1567324440000,com.sec.android.app.shealth,1567350623506,1567350623506,UTC-0400,74df259b-0b81-10b0-7da9-1a6f9d27ded8,,1567350540000,,hytsFLPcD3,
89.0,1cb59361-269f-1d59-aa00-90a5e2905ae1.extra_data.json,,,0,,,1572242460000,com.sec.android.app.shealth,1572266374904,1572266374904,UTC-0500,1cb59361-269f-1d59-aa00-90a5e2905ae1,,1572266280000,,hytsFLPcD3,
81.0,07c3c422-4fbc-e4d7-faaf-25118b3b8218.extra_data.json,,,0,,,1578931800000,com.sec.android.app.shealth,1578937255469,1578937255469,UTC-0500,07c3c422-4fbc-e4d7-faaf-25118b3b8218,,1578936960000,,hytsFLPcD3,
75.0,484e5bfe-4c2e-1dc6-b7f2-c815f232362a.extra_data.json,,,0,,,1576154220000,com.sec.android.app.shealth,1576170248378,1576170248378,UTC-0500,484e5bfe-4c2e-1dc6-b7f2-c815f232362a,,1576169340000,,hytsFLPcD3,
86.0,33daa1df-c5b3-39a8-8aa8-146bb26697fc.extra_data.json,,,0,,,1565908200000,com.sec.android.app.shealth,1565917968852,1565917968852,UTC-0400,33daa1df-c5b3-39a8-8aa8-146bb26697fc,,1565917740000,,hytsFLPcD3,
84.0,689288ee-ba0c-e22d-78b8-14e5a22c063b.extra_data.json,,,0,,,1572183000000,com.sec.android.app.shealth,1572190737862,1572190737862,UTC-0500,689288ee-ba0c-e22d-78b8-14e5a22c063b,,1572189960000,,hytsFLPcD3,
88.0,c5d24546-0529-9258-3c95-3b91915c4652.extra_data.json,,,0,,,1578909900000,com.sec.android.app.shealth,1578925514455,1578925514455,UTC-0500,c5d24546-0529-9258-3c95-3b91915c4652,,1578925320000,,hytsFLPcD3,
85.0,32d975f9-ee3a-c7f9-0438-6a1e0d72d3df.extra_data.json,,,0,,,1571291400000,com.sec.android.app.shealth,1571311143523,1571311143523,UTC-0400,32d975f9-ee3a-c7f9-0438-6a1e0d72d3df,,1571310060000,,hytsFLPcD3,
75.0,ab8b3250-3f23-4f32-4e6c-2ae8bbe1b6cf.extra_data.json,,,0,,,1576505880000,com.sec.android.app.shealth,1576511965306,1576511965306,UTC-0500,ab8b3250-3f23-4f32-4e6c-2ae8bbe1b6cf,,1576510980000,,hytsFLPcD3,
88.0,f98fa699-bd37-d326-13f1-e006a98c9592.extra_data.json,,,0,,,1570000560000,com.sec.android.app.shealth,1570016947713,1570016947713,UTC-0400,f98fa699-bd37-d326-13f1-e006a98c9592,,1570016820000,,hytsFLPcD3,
88.0,c56235c2-cf28-9ef6-1de8-664185b30073.extra_data.json,,,0,,,1570940700000,com.sec.android.app.shealth,1570976497764,1570976497764,UTC-0400,c56235c2-cf28-9ef6-1de8-664185b30073,,1570975440000,,hytsFLPcD3,
89.0,d777a8e2-c253-79d8-05b7-1728e20e7333.extra_data.json,,,0,,,1568581620000,com.sec.android.app.shealth,1568592129518,1568592129518,UTC-0500,d777a8e2-c253-79d8-05b7-1728e20e7333,,1568591640000,,hytsFLPcD3,
85.0,f91737df-99cf-d92a-d733-81a891a17524.extra_data.json,,,0,,,1577270100000,com.sec.android.app.shealth,1577301245051,1577301245051,UTC-0600,f91737df-99cf-d92a-d733-81a891a17524,,1577301180000,,hytsFLPcD3,
83.0,92680596-e3fa-992a-ae88-f090ee7f0238.extra_data.json,,,0,,,1573111680000,com.sec.android.app.shealth,1573130441981,1573130441981,UTC-0500,92680596-e3fa-992a-ae88-f090ee7f0238,,1573130340000,,hytsFLPcD3,
85.0,19e91124-388a-459b-56a3-f8f06bafc4c4.extra_data.json,,,0,,,1576135620000,com.sec.android.app.shealth,1576154169378,1576154169378,UTC-0500,19e91124-388a-459b-56a3-f8f06bafc4c4,,1576154100000,,hytsFLPcD3,
89.0,b40794d6-cf1f-a216-7967-fcbb4c22f2d5.extra_data.json,,,0,,,1566975420000,com.sec.android.app.shealth,1566995862414,1566995862414,UTC-0400,b40794d6-cf1f-a216-7967-fcbb4c22f2d5,,1566995400000,,hytsFLPcD3,
84.0,802729ae-2437-c971-c32a-b18c0e0ce359.extra_data.json,,,0,,,1565983740000,com.sec.android.app.shealth,1565990095368,1565990095368,UTC-0400,802729ae-2437-c971-c32a-b18c0e0ce359,,1565989680000,,hytsFLPcD3,
86.0,0091ec84-bb43-c52b-55f4-9c1ce433e6f4.extra_data.json,,,0,,,1563966420000,com.sec.android.app.shealth,1563982295451,1563982295451,UTC-0500,0091ec84-bb43-c52b-55f4-9c1ce433e6f4,,1563982020000,,hytsFLPcD3,
81.0,6d771937-c4f3-671c-b959-fff482c687fa.extra_data.json,,,0,,,1571038860000,com.sec.android.app.shealth,1571052165653,1571052165653,UTC-0400,6d771937-c4f3-671c-b959-fff482c687fa,,1571051400000,,hytsFLPcD3,
91.0,05fe1371-0d28-3b30-bfd5-bf9f44d07095.extra_data.json,,,0,,,1569825900000,com.sec.android.app.shealth,1569842969644,1569842969644,UTC-0400,05fe1371-0d28-3b30-bfd5-bf9f44d07095,,1569842820000,,hytsFLPcD3,
87.0,839702eb-a4ce-5859-0131-fe8879f63e41.extra_data.json,,,0,,,1572631080000,com.sec.android.app.shealth,1572641079042,1572641079042,UTC-0500,839702eb-a4ce-5859-0131-fe8879f63e41,,1572640080000,,hytsFLPcD3,
89.0,f5306b24-7cb1-665e-0f30-dcbace4afcaa.extra_data.json,,,0,,,1564471020000,com.sec.android.app.shealth,1564503718429,1564503718429,UTC-0400,f5306b24-7cb1-665e-0f30-dcbace4afcaa,,1564503540000,,hytsFLPcD3,
90.0,76bfacda-cb7b-bd1c-05df-e8881ec8cf30.extra_data.json,,,0,,,1567662960000,com.sec.android.app.shealth,1567681687827,1567681687827,UTC-0400,76bfacda-cb7b-bd1c-05df-e8881ec8cf30,,1567681560000,,hytsFLPcD3,
86.0,fa1ff78b-cc4e-ddb3-c5d8-b1d9c47037bf.extra_data.json,,,0,,,1576483620000,com.sec.android.app.shealth,1576493363400,1576493363400,UTC-0500,fa1ff78b-cc4e-ddb3-c5d8-b1d9c47037bf,,1576493100000,,hytsFLPcD3,
85.0,3f5646e9-38c1-ec67-f060-ae80b76a7268.extra_data.json,,,0,,,1573806960000,com.sec.android.app.shealth,1573834386396,1573834386396,UTC-0500,3f5646e9-38c1-ec67-f060-ae80b76a7268,,1573833840000,,hytsFLPcD3,
54.0,7df2c2d3-6f2a-fc2c-ce24-197f0ed4d2cb.extra_data.json,,,0,,,1568483340000,com.sec.android.app.shealth,1568488622859,1568488622859,UTC-0400,7df2c2d3-6f2a-fc2c-ce24-197f0ed4d2cb,,1568487540000,,hytsFLPcD3,
