com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
3973,0,4,10,1589505444133,8.609,UTC-0500,,10,1589505479999,2.1666667,hytsFLPcD3,1589505420000,com.sec.android.app.shealth,1589505444133,30008229-d18c-cab9-e76d-b0f53b1a0e94,0.4,230002,
8160,0,4,14,1589507913423,10.2,UTC-0500,,14,1589507759999,1.25,hytsFLPcD3,1589507700000,com.sec.android.app.shealth,1589507913423,2c6e8d28-23c9-7503-11a8-c9652620f8bf,0.47,230002,
18480,0,4,31,1589508798302,23.1,UTC-0500,,31,1589508779999,1.25,hytsFLPcD3,1589508720000,com.sec.android.app.shealth,1589508798302,ec1a12c1-5d48-c7e4-629a-60c260092ce7,1.04,230002,
494,0,4,1,1589510221234,0.769,UTC-0500,,1,1589510279999,1.5555556,hytsFLPcD3,1589510220000,com.sec.android.app.shealth,1589510221234,976a6afa-def9-a33e-bf7c-40f7623c0380,0.04,230002,
5853,0,4,12,1589512508160,9.43,UTC-0500,,12,1589511899999,1.6111112,hytsFLPcD3,1589511840000,com.sec.android.app.shealth,1589512508161,3fd50920-227c-79ed-0d4c-a72b7b67e972,0.38,230002,
29119,1,4,52,1589513726576,40.65,UTC-0500,,53,1589513759999,1.3959814,hytsFLPcD3,1589513700000,com.sec.android.app.shealth,1589514918179,880e1098-2172-bfa8-f4df-bfe6c585b9b5,2.05,230002,
6212,0,4,8,1589514918236,5.35,UTC-0500,,8,1589514479999,0.8611111,hytsFLPcD3,1589514420000,com.sec.android.app.shealth,1589514918237,6984ed3e-22ca-1b0c-bd15-c1a643bc2d43,0.3,230002,
11093,0,4,18,1589544902331,13.25,UTC-0500,,18,1589544900000,1.1944444,jpgso+yMpj,1589544840000,com.sec.android.app.shealth,1589544902331,647f8ded-2abf-4289-a654-31bb6a6fd05c,0.66,,
5004,1,4,11,1589543707172,8.34,UTC-0500,,12,1589543339999,1.6666666,hytsFLPcD3,1589543280000,com.sec.android.app.shealth,1589543707172,5dcf0e90-c8df-b5f0-5dd2-86bd2235781e,0.71,230002,
15936,0,4,26,1589545477396,19.92,UTC-0500,,26,1589545439999,1.25,hytsFLPcD3,1589545380000,com.sec.android.app.shealth,1589545477396,c53eaac9-04b9-f172-5599-c7a4e8d21f2f,0.9,230002,
5335,0,4,10,1589545915274,7.41,UTC-0500,,10,1589545919999,1.3888888,hytsFLPcD3,1589545860000,com.sec.android.app.shealth,1589545915274,6ab9b840-4d15-6a68-7fe8-b126db566eb3,0.36,230002,
18014,0,4,33,1589546688407,25.02,UTC-0500,,33,1589546639999,1.3888888,hytsFLPcD3,1589546580000,com.sec.android.app.shealth,1589546688410,a9337c95-c31c-67cf-bcb2-91686dd32a22,1.09,230002,
