com.samsung.shealth.insight.milestones,6100041,1
pkg_name,update_time,create_time,datauuid,type,value,day_time,deviceuuid
com.sec.android.app.shealth,2019-08-12 09:27:00.357,2019-01-11 11:29:55.696,bfd22f55-167b-4105-b530-d05e5cf23851,2,840,1565481600000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-08-12 09:27:00.394,2019-01-11 11:29:55.726,d018737f-a834-43ca-8ffe-eec0acf8a70a,1,25274,1565481600000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-08-12 09:27:00.335,2019-01-11 11:29:55.664,190af5d3-accc-4fe4-b488-4271f3ef5320,0,273,1565481600000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-12-02 07:01:43.296,2019-01-14 11:35:00.454,1d767b6c-c9ca-4575-93db-adf19e425f1b,3,43,1568592000000,eL5K8TBQJK,
