com.samsung.shealth.activity.goal,6100041,1
pkg_name,update_time,create_time,time_offset,datauuid,set_time,value,deviceuuid
com.sec.android.app.shealth,2019-09-18 03:18:04.459,2019-09-18 03:18:04.459,UTC-0400,0a0280ee-0405-489d-addb-4ae65931632e,1568776684452,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:46:11.709,2019-06-26 20:46:11.709,UTC-0600,2f91872e-bbb7-4853-b248-ffb61da4c032,1561581971706,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 01:26:26.838,2019-06-27 01:26:26.838,UTC-0600,4b10f0cd-4c27-42c9-8934-8db24dd8a915,1561598786833,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-01 11:21:33.190,2019-07-01 11:21:33.190,UTC-0400,9223e19c-54ac-4b53-819a-1fc1134478c6,1561980093178,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 03:28:54.569,2019-06-27 03:28:54.569,UTC-0600,d067959a-4439-4ce8-b8cf-f78aaffe6fb4,1561606134567,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 18:08:48.246,2019-06-26 18:08:48.246,UTC-0600,8c09db20-4209-4ab5-beb5-9c1aca1f000e,1561572528242,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 21:35:54.657,2019-06-26 21:35:54.657,UTC-0600,4398d3f8-1e5c-45f4-9f12-5a544eb47f36,1561584954650,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 19:40:49.493,2019-06-26 19:40:49.493,UTC-0500,afd3a811-e3cc-40b9-b6fc-c56e8e6ec374,1561578049489,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 03:26:24.783,2019-06-27 03:26:24.783,UTC-0500,d1978aa4-1143-4a88-b786-0e244560888d,1561605984778,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:42:33.368,2019-06-26 20:42:33.368,UTC-0600,1a6f8d7f-bd6a-49d1-b660-010f825ac6a4,1561581753367,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:10:56.954,2019-06-26 20:10:56.954,UTC-0600,60c37f79-17c2-4594-bff7-d1d929886d70,1561579856940,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:30:18.514,2019-06-27 04:30:18.514,UTC-0600,77d5c356-df34-4ad5-ba17-f42b08f5785e,1561609818506,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-10-28 04:19:20.947,2019-10-28 04:19:20.947,UTC-0500,fe4d1a64-8911-4d4b-b413-6a7c00e5d62b,1572236360931,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-01 18:26:25.136,2019-07-01 18:26:25.136,UTC-0500,ed586726-accb-48a2-8f75-83520ffed0ff,1562005585118,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 18:10:18.208,2019-06-26 18:10:18.208,UTC-0500,496361b8-eabb-4013-b72d-e5e221dae835,1561572618202,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-04 22:28:52.470,2019-07-04 22:28:52.470,UTC-0500,86e783aa-197c-4bcc-a785-6fe90a094bf1,1562279332467,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-01 18:26:34.217,2019-07-01 18:26:34.217,UTC-0400,d8847d5e-cde7-4e7d-b78c-8fd74ab3d5b3,1562005594213,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:38:12.282,2019-06-26 20:38:12.282,UTC-0600,bb3b405d-c24a-48bd-b382-726422da24fb,1561581492278,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 01:03:38.457,2019-06-27 01:03:38.457,UTC-0600,81421293-3098-483a-ae27-588b8f6fe91d,1561597418455,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:29:44.636,2019-06-27 04:29:44.636,UTC-0600,2d3985f8-f7aa-46e7-924b-449b5b31261e,1561609784623,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 01:26:37.961,2019-06-27 01:26:37.961,UTC-0500,4538bb5a-47f9-4b41-9f0b-aef2c1020b06,1561598797958,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-11-03 02:52:24.049,2019-11-03 02:52:24.049,UTC-0600,3843f52f-dc94-4ffd-9ea8-59e5fd19c0c4,1572749544025,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 21:14:26.518,2019-06-26 21:14:26.518,UTC-0500,e9be1de1-2a81-46b3-88a4-0c6d7a1072f7,1561583666516,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-02 14:38:59.841,2019-06-02 14:38:59.841,UTC-0400,397f6331-de99-40f3-be13-2cf52c479573,1559486339838,60,eL5K8TBQJK,
com.sec.android.app.shealth,2020-04-05 12:00:11.900,2020-04-05 12:00:11.900,UTC-0500,d1dba639-c159-470b-b44c-52915ea49f3a,1586088011898,60,jpgso+yMpj,
com.sec.android.app.shealth,2019-06-27 04:31:25.348,2019-06-27 04:31:25.348,UTC-0500,53353932-3b7f-4fcf-9125-7f77d4c5d274,1561609885344,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 03:26:10.343,2019-06-27 03:26:10.343,UTC-0600,c0f46807-678d-4224-913a-1fe04e7ffb82,1561605970342,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:11:05.191,2019-06-26 20:11:05.191,UTC-0500,44784640-b2d6-4420-975d-c5a2aa8711c0,1561579865184,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 21:23:31.237,2019-06-26 21:23:31.237,UTC-0500,2bd8f975-ada0-4143-949f-d9625b2913d7,1561584211236,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 18:11:52.398,2019-06-26 18:11:52.398,UTC-0600,6d1fff7a-5200-4d38-ab42-bc0bb75b6499,1561572712395,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-04 23:28:51.830,2019-07-04 23:28:51.830,UTC-0500,7c759eff-5092-4cb6-b776-7d1f0c9c5df7,1562282931818,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 22:39:45.218,2019-06-26 22:39:45.218,UTC-0600,a143000c-25f9-4899-9221-05d6d1ee7ea8,1561588785210,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 04:30:26.849,2019-06-27 04:30:26.849,UTC-0500,b67a4a9a-cba9-46f4-9162-64ee59adc648,1561609826845,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 19:47:39.992,2019-06-26 19:47:39.992,UTC-0600,371c98bf-1e0c-4b60-82de-cd6c41d7b5b3,1561578459988,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-27 01:10:50.782,2019-06-27 01:10:50.782,UTC-0600,d38a2966-e950-42ff-90af-5d583194d70b,1561597850773,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 20:58:46.850,2019-06-26 20:58:46.850,UTC-0500,e83076cf-3445-4150-8ffb-5d5a2c5169e4,1561582726847,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-04-15 01:31:46.231,2019-04-15 01:31:46.231,UTC-0400,f4ab79ff-f99d-401d-8eda-deba155c20fe,1555291906221,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 19:54:37.357,2019-06-26 19:54:37.357,UTC-0600,b145fb41-b772-4ec4-8939-57bc26318806,1561578877355,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-25 03:53:41.417,2019-07-25 03:53:41.417,UTC-0400,2bf31777-8184-4082-81fa-73ae98a428d5,1564026821409,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 19:56:15.517,2019-06-26 19:56:15.517,UTC-0500,6ef169e1-95af-4e4a-8a53-950527426305,1561578975516,60,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-26 21:22:56.595,2019-06-26 21:22:56.595,UTC-0600,4075673d-5a52-4f16-a7d7-dde86ae8542f,1561584176592,60,eL5K8TBQJK,
