com.samsung.shealth.stand_day_summary,6100041,1
pkg_name,update_time,stand_time,create_time,datauuid,day_time,deviceuuid
com.sec.android.app.shealth,2019-11-18 00:56:18.312,346112,2019-11-17 06:00:10.074,8913c779-49cf-29c9-dee3-5a36dd3ebe88,1573948800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-24 03:48:54.339,1582089,2019-12-23 07:00:10.024,5d0d90ce-9a75-8c24-b90b-b42948a06e99,1577059200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-11 02:12:53.334,2621440,2019-09-10 08:44:46.609,cabb73f7-3caa-3c4c-bdad-14736437e088,1568073600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-28 01:55:56.274,1318912,2019-09-27 05:00:11.858,64fbe4c6-4bb6-ae80-d220-83690ad0c9cf,1569542400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-01 06:17:51.346,8388608,2019-12-31 07:00:03.969,6b938d3a-7f35-67b3-5d8a-1616629e5fb9,1577750400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-15 06:00:06.769,0,2019-09-15 06:00:06.769,fbe3e77d-7bc0-01b6-640d-5c2053e73686,1568505600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-18 03:18:08.352,4272128,2019-09-17 06:00:04.050,5b88153e-6a1d-b770-f651-02c3952f2eac,1568678400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-24 20:49:10.291,38144,2019-10-24 05:00:05.233,47702c72-cd02-cc64-79eb-b8e8f4e81c1d,1571875200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-05 10:10:15.250,12,2019-11-05 07:00:18.587,70677f1f-deb8-0f82-7d7c-39fc67e9953e,1572912000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-16 04:50:25.364,9830400,2019-10-15 05:15:21.263,2c5aab84-0df8-cba1-c8ff-09585ee9c354,1571097600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-19 01:21:19.265,1184770,2019-09-18 05:00:07.090,abb4a52e-44a9-f623-71f6-a3b2bfa2c16c,1568764800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-15 01:25:01.908,1420034,2019-10-14 05:00:15.604,dcca83c6-b339-51d3-4919-5d7c70d23657,1571011200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-08 21:10:34.428,81956,2019-09-08 05:01:15.594,9ef8b462-20b3-8986-999d-bbbfccb8aabd,1567900800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-02 01:55:17.400,1064961,2019-10-01 05:00:26.940,ff7164f8-36a0-f419-ef10-fdd247cc665f,1569888000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-25 23:04:17.082,300288,2019-10-25 05:00:05.839,b8a3c736-44d1-3b34-1a76-18c1d795020d,1571961600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-10 05:22:30.378,8407296,2019-12-09 06:00:17.302,4c54048a-250a-4bcc-b0ce-c1c89157bfd5,1575849600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-29 01:33:03.333,1349122,2019-08-28 05:00:20.731,9dc21d13-6c34-7524-9dc9-20cef624c7da,1566950400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-31 02:32:28.978,3497984,2019-08-30 05:00:45.554,4e726922-49c9-b9c9-84ef-33db73e16725,1567123200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-02 04:32:41.297,5406720,2019-11-01 06:02:11.557,0913fb9b-45f1-ec00-1435-964b931f6e14,1572566400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-12 23:24:13.325,135424,2019-11-12 06:00:13.766,ce6c7fdb-5936-ab7e-d4f7-eded31f36caf,1573516800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-15 05:45:06.331,8536064,2019-09-14 05:00:05.380,3f61f25c-ff6c-7f2d-6bfc-52f464d79047,1568419200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-12 02:36:09.289,589825,2020-01-11 07:03:46.812,dbbe6972-4588-d388-7630-8afbd255ddf0,1578700800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-24 01:55:34.283,557060,2019-11-23 06:04:17.683,6ee9b310-15cb-1c15-37c7-f2b7dd5f051d,1574467200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-12 01:14:43.260,1381888,2019-09-11 13:09:28.257,0cfbe1dc-386b-8574-0e55-697ee7c7d6b9,1568160000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-14 04:47:06.359,8914944,2019-10-13 05:00:26.395,a0de3b5c-9274-dc58-402d-d9dadc14afb0,1570924800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-05 21:35:56.342,65536,2019-08-05 05:00:10.254,51fd7008-2ca2-90a6-8985-13bc08c4b7df,1564963200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-27 04:07:41.366,9721088,2019-08-26 05:00:11.627,a62304c5-0097-a42f-23c8-1f4a9de6a03a,1566777600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-18 00:51:48.280,925952,2019-10-17 05:00:04.686,6c132d84-102d-8210-00e0-73a057bc865e,1571270400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-20 01:31:35.288,1398016,2019-08-19 05:00:14.717,4ff6d8e2-3d14-a7f7-7d11-5a92eeb9a621,1566172800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-19 03:37:40.213,2490368,2019-11-18 06:00:13.822,777dd2ff-9ed4-834b-e8b5-39c043cc0d5c,1574035200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-11 03:48:26.296,3489792,2019-12-10 06:00:48.374,343714d4-b884-e96f-2bbd-7895b805c682,1575936000000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-10 06:46:26.897,9781248,2020-01-09 07:02:44.539,0a11b643-7954-6549-464f-c684d57d7bc6,1578528000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-23 01:54:44.228,1738496,2019-08-22 05:00:11.576,57b47201-1987-e26f-cf1f-d1ca5af07c9e,1566432000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-23 03:15:53.263,2893830,2019-11-22 06:00:30.993,d114a39e-dd9b-36f8-e9e7-0edee0667e05,1574380800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-07-31 23:27:51.334,278531,2019-07-31 05:00:04.681,77f9426c-d110-88a3-d097-2801f47fbd7b,1564531200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-29 02:06:06.249,1316096,2019-10-28 06:00:18.742,b73aeb8f-7bbe-48cb-d5ea-88b1816615ee,1572220800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-21 03:44:02.278,7131392,2019-09-20 05:01:02.500,3229ef3a-cf91-945f-fc41-bb9c38dea9f3,1568937600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-07-20 04:16:02.313,4194304,2019-07-19 19:46:49.978,5d18398f-7c16-3f0b-fb4a-e672eff5ec8d,1563494400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-07-24 05:03:08.278,9109506,2019-07-23 06:00:04.560,bb949e13-c104-a82f-b22f-7c8781f4abef,1563840000000,hytsFLPcD3,
com.sec.android.app.shealth,2019-11-26 05:19:52.353,8658952,2019-11-25 06:00:06.134,4b1b01b9-0b49-10f3-3817-162b4b521dc4,1574640000000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-12 20:16:56.314,8193,2020-01-12 07:00:08.332,25fdb576-2bcd-70cc-e7db-9cfef55d5733,1578787200000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-27 06:03:44.260,8388608,2019-12-26 07:00:06.736,cf1c337d-2090-ee31-6f01-cd8c9b998535,1577318400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-03 00:05:42.273,262145,2019-12-02 06:00:17.998,2dd9b155-27c5-0ad8-9402-a5adfdca3912,1575244800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-10-30 22:06:52.394,70656,2019-10-30 06:00:05.383,e58c8ec4-c16b-988f-7baa-5aa1874ea08e,1572393600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-07-26 00:08:31.281,525312,2019-07-25 05:00:03.792,e1d5c966-3b54-350a-408c-bc9e90910d12,1564012800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-09-24 01:13:27.299,1398032,2019-09-23 05:00:11.952,480bbe94-fbde-a5e0-91fb-7710d2b00761,1569196800000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-20 04:38:02.268,2164740,2019-12-19 07:00:13.610,831e3418-95c6-7d4b-5b54-e7e58ca2d5ba,1576713600000,hytsFLPcD3,
com.sec.android.app.shealth,2019-12-01 23:57:59.369,185344,2019-12-01 06:00:03.896,2d2367cc-f0f3-1754-fd8e-8a68df0c5e13,1575158400000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-15 06:00:03.536,0,2020-01-15 06:00:03.536,32e79b4d-2acb-aabc-46cd-761b5ad3c177,1579046400000,hytsFLPcD3,
com.sec.android.app.shealth,2019-08-18 02:00:06.327,2162690,2019-08-17 05:00:05.079,f25853fb-0dc1-a1d9-ecb4-fce6f497f787,1566000000000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-22 03:36:18.301,2168064,2020-01-21 06:00:08.326,70b6b431-3838-5659-e5df-9bab0e343c4a,1579564800000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-28 00:04:09.314,265473,2020-01-27 06:00:28.447,a442b6af-edd5-4255-50a0-90b8ca4f086c,1580083200000,hytsFLPcD3,
com.sec.android.app.shealth,2020-01-14 02:33:24.336,1064961,2020-01-13 06:40:24.394,eca6de42-448d-0424-b6c3-037c3de779cf,1578873600000,hytsFLPcD3,
