com.samsung.shealth.social.leaderboard,6100041,1
pkg_name,update_time,create_time,datauuid,my_value,last_sync_time,body,type,deviceuuid
com.sec.android.app.shealth,2020-06-18 02:05:35.381,2020-06-18 02:05:35.381,57719220-e6f3-4553-9a72-538fb541cada,0,1592445935360,57719220-e6f3-4553-9a72-538fb541cada.body.json,200,jpgso+yMpj,
com.sec.android.app.shealth,2020-06-18 02:05:36.230,2020-06-18 02:05:36.230,1ae70984-aff1-4ee1-802a-614f3dca3628,45,1592445936213,1ae70984-aff1-4ee1-802a-614f3dca3628.body.json,102,jpgso+yMpj,
com.sec.android.app.shealth,2020-06-18 02:05:36.267,2020-06-18 02:05:36.267,e4cea805-0245-4846-80e2-4b86e901fdf7,59,1592445936213,e4cea805-0245-4846-80e2-4b86e901fdf7.body.json,101,jpgso+yMpj,
