com.samsung.shealth.stress,6100041,7
create_time,time_offset,max,custom,end_time,deviceuuid,start_time,score,pkg_name,update_time,min,binning_data,datauuid,tag_id,comment,algorithm
2019-08-19 00:15:04.338,UTC-0400,100.0,,2019-08-19 00:59:59.999,hytsFLPcD3,2019-08-19 00:00:00.000,53.0,com.sec.android.app.shealth,2019-08-19 01:01:06.361,0.0,81cb2060-9e15-6c04-064b-8ae7ee573113.binning_data.json,81cb2060-9e15-6c04-064b-8ae7ee573113,10011,,1,
2019-08-20 01:01:16.299,UTC-0400,100.0,,2019-08-20 00:59:59.999,hytsFLPcD3,2019-08-20 00:00:00.000,50.0,com.sec.android.app.shealth,2019-08-20 01:01:16.299,0.0,c59c02de-92e2-d0c2-d4e2-245e4b78a5b7.binning_data.json,c59c02de-92e2-d0c2-d4e2-245e4b78a5b7,10011,,1,
2019-08-10 02:28:06.516,UTC-0400,98.0,,2019-08-10 02:59:59.999,hytsFLPcD3,2019-08-10 02:00:00.000,45.0,com.sec.android.app.shealth,2019-08-10 15:29:07.352,0.0,5eb58735-1ddc-633a-5cd5-813a2d9009cc.binning_data.json,5eb58735-1ddc-633a-5cd5-813a2d9009cc,10011,,1,
2019-08-03 18:45:35.731,UTC-0400,100.0,,2019-08-03 18:59:59.999,hytsFLPcD3,2019-08-03 18:00:00.000,33.0,com.sec.android.app.shealth,2019-08-03 19:04:10.805,0.0,f2a0084e-414a-b509-ea45-0612d1ab73d4.binning_data.json,f2a0084e-414a-b509-ea45-0612d1ab73d4,10011,,1,
2019-08-02 18:01:18.097,UTC-0400,100.0,,2019-08-02 17:59:59.999,hytsFLPcD3,2019-08-02 17:00:00.000,54.0,com.sec.android.app.shealth,2019-08-02 18:01:18.097,0.0,49533368-50ac-6073-87e8-4012cfaad1aa.binning_data.json,49533368-50ac-6073-87e8-4012cfaad1aa,10011,,1,
2019-07-31 07:09:37.410,UTC-0400,92.0,,2019-07-31 06:59:59.999,hytsFLPcD3,2019-07-31 06:00:00.000,2.0,com.sec.android.app.shealth,2019-07-31 07:09:37.410,0.0,901eb2c7-7f81-9de9-b1a5-727f57d12773.binning_data.json,901eb2c7-7f81-9de9-b1a5-727f57d12773,10011,,1,
2019-08-15 09:03:59.343,UTC-0400,0.0,,2019-08-15 08:59:59.999,hytsFLPcD3,2019-08-15 08:00:00.000,0.0,com.sec.android.app.shealth,2019-08-15 11:47:41.085,0.0,4895b7b6-dc89-8cfb-083c-a88b6e288f1b.binning_data.json,4895b7b6-dc89-8cfb-083c-a88b6e288f1b,10011,,1,
2019-08-06 17:02:49.493,UTC-0400,100.0,,2019-08-06 16:59:59.999,hytsFLPcD3,2019-08-06 16:00:00.000,30.0,com.sec.android.app.shealth,2019-08-06 17:02:49.493,0.0,7fa13095-aa03-4913-71ea-957bd6873edf.binning_data.json,7fa13095-aa03-4913-71ea-957bd6873edf,10011,,1,
2019-08-19 21:59:37.216,UTC-0400,100.0,,2019-08-19 21:59:59.999,hytsFLPcD3,2019-08-19 21:00:00.000,62.0,com.sec.android.app.shealth,2019-08-19 22:01:08.525,0.0,1a47c5a4-d149-7615-9ad5-ccdb1ec1ea53.binning_data.json,1a47c5a4-d149-7615-9ad5-ccdb1ec1ea53,10011,,1,
2019-07-28 03:02:07.710,UTC-0400,100.0,,2019-07-28 02:59:59.999,hytsFLPcD3,2019-07-28 02:00:00.000,54.0,com.sec.android.app.shealth,2019-07-28 03:02:07.710,0.0,0d9626d3-4ecd-8bc8-1b1a-20e8ed7981ba.binning_data.json,0d9626d3-4ecd-8bc8-1b1a-20e8ed7981ba,10011,,1,
2019-08-14 00:01:35.443,UTC-0400,100.0,,2019-08-13 23:59:59.999,hytsFLPcD3,2019-08-13 23:00:00.000,64.0,com.sec.android.app.shealth,2019-08-14 00:01:35.443,0.0,5b2f1a5d-0507-9482-7f47-4624bf11d6d7.binning_data.json,5b2f1a5d-0507-9482-7f47-4624bf11d6d7,10011,,1,
2019-07-26 18:03:41.856,UTC-0400,99.0,,2019-07-26 17:59:59.999,hytsFLPcD3,2019-07-26 17:00:00.000,6.0,com.sec.android.app.shealth,2019-07-26 18:03:41.856,0.0,3bb2f885-e4cb-aecb-9765-a3e7c5faba79.binning_data.json,3bb2f885-e4cb-aecb-9765-a3e7c5faba79,10011,,1,
2019-08-11 17:02:34.215,UTC-0400,100.0,,2019-08-11 16:59:59.999,hytsFLPcD3,2019-08-11 16:00:00.000,69.0,com.sec.android.app.shealth,2019-08-11 17:02:34.215,0.0,aade30fa-ea3d-14e2-cb58-e720dfca3d55.binning_data.json,aade30fa-ea3d-14e2-cb58-e720dfca3d55,10011,,1,
2019-08-15 23:51:59.441,UTC-0400,2.0,,2019-08-15 23:59:59.999,hytsFLPcD3,2019-08-15 23:00:00.000,1.0,com.sec.android.app.shealth,2019-08-16 01:14:03.407,1.0,6d2c1afb-7a41-2abd-d232-c731bb0714b0.binning_data.json,6d2c1afb-7a41-2abd-d232-c731bb0714b0,10011,,1,
2019-07-23 21:01:00.144,UTC-0500,100.0,,2019-07-23 20:59:59.999,hytsFLPcD3,2019-07-23 20:00:00.000,63.0,com.sec.android.app.shealth,2019-07-23 21:01:00.144,0.0,8a207d86-72de-71ea-b267-d5599bfc9943.binning_data.json,8a207d86-72de-71ea-b267-d5599bfc9943,10011,,1,
2019-07-28 15:05:24.946,UTC-0400,100.0,,2019-07-28 14:59:59.999,hytsFLPcD3,2019-07-28 14:00:00.000,45.0,com.sec.android.app.shealth,2019-07-28 15:05:24.946,0.0,e903f0e3-84c3-5c24-779d-ffcf75e81787.binning_data.json,e903f0e3-84c3-5c24-779d-ffcf75e81787,10011,,1,
2019-08-07 17:02:54.812,UTC-0400,100.0,,2019-08-07 16:59:59.999,hytsFLPcD3,2019-08-07 16:00:00.000,71.0,com.sec.android.app.shealth,2019-08-07 17:02:54.812,0.0,65dcf3c5-d41b-40b5-e19b-0c50148e68d6.binning_data.json,65dcf3c5-d41b-40b5-e19b-0c50148e68d6,10011,,1,
2019-08-19 14:01:44.665,UTC-0400,99.0,,2019-08-19 13:59:59.999,hytsFLPcD3,2019-08-19 13:00:00.000,4.0,com.sec.android.app.shealth,2019-08-19 14:01:44.665,0.0,7e45cacd-a956-d10c-281f-7c709c545eae.binning_data.json,7e45cacd-a956-d10c-281f-7c709c545eae,10011,,1,
2019-08-02 06:03:49.727,UTC-0400,100.0,,2019-08-02 05:59:59.999,hytsFLPcD3,2019-08-02 05:00:00.000,48.0,com.sec.android.app.shealth,2019-08-02 06:03:49.727,0.0,459b4074-dae5-5a66-7c83-e313315beda1.binning_data.json,459b4074-dae5-5a66-7c83-e313315beda1,10011,,1,
2019-08-18 06:01:10.511,UTC-0400,100.0,,2019-08-18 05:59:59.999,hytsFLPcD3,2019-08-18 05:00:00.000,56.0,com.sec.android.app.shealth,2019-08-18 06:01:10.511,0.0,29d0a13e-cf0f-70e1-7e63-630a7441f4f5.binning_data.json,29d0a13e-cf0f-70e1-7e63-630a7441f4f5,10011,,1,
2019-08-20 03:01:33.425,UTC-0400,100.0,,2019-08-20 02:59:59.999,hytsFLPcD3,2019-08-20 02:00:00.000,54.0,com.sec.android.app.shealth,2019-08-20 03:01:33.425,0.0,e2b4a70e-9cea-b5fb-2601-b6cab95746df.binning_data.json,e2b4a70e-9cea-b5fb-2601-b6cab95746df,10011,,1,
2019-07-27 16:04:23.325,UTC-0400,100.0,,2019-07-27 15:59:59.999,hytsFLPcD3,2019-07-27 15:00:00.000,36.0,com.sec.android.app.shealth,2019-07-27 16:04:23.325,0.0,27ea0ea4-4352-34d5-f4e5-d971aa08ed22.binning_data.json,27ea0ea4-4352-34d5-f4e5-d971aa08ed22,10011,,1,
2019-07-25 16:24:11.552,UTC-0400,100.0,,2019-07-25 15:59:59.999,hytsFLPcD3,2019-07-25 15:00:00.000,71.0,com.sec.android.app.shealth,2019-07-25 16:24:11.552,0.0,3d823a30-2db4-24ce-235e-584c252aa641.binning_data.json,3d823a30-2db4-24ce-235e-584c252aa641,10011,,1,
2019-07-31 18:02:55.986,UTC-0400,100.0,,2019-07-31 17:59:59.999,hytsFLPcD3,2019-07-31 17:00:00.000,17.0,com.sec.android.app.shealth,2019-07-31 18:02:55.986,0.0,6fd1537c-95bf-5b6b-d382-a3e7452282ad.binning_data.json,6fd1537c-95bf-5b6b-d382-a3e7452282ad,10011,,1,
