com.samsung.shealth.report,6100041,3
pkg_name,update_time,create_time,datauuid,timezone,type,version,compressed_content,is_empty,content,start_date,deviceuuid
com.sec.android.app.shealth,2019-07-27 20:23:51.723,2019-07-25 20:24:01.439,a5a9f868-5c53-4798-8530-836e82266b5c,America/Mexico_City,0,2,a5a9f868-5c53-4798-8530-836e82266b5c.compressed_content.json,0,X,1563080400000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-01 21:23:30.550,2019-05-26 21:23:40.279,8ab9523b-309b-4462-ad7c-46bea2f84ec5,America/Chihuahua,0,2,8ab9523b-309b-4462-ad7c-46bea2f84ec5.compressed_content.json,0,X,1558245600000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-08-10 20:25:22.671,2019-08-04 20:24:53.071,34f76829-53db-422a-8bb6-b4ba46961894,America/Mexico_City,0,2,34f76829-53db-422a-8bb6-b4ba46961894.compressed_content.json,0,X,1564290000000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-12-22 22:25:54.332,2019-12-22 22:25:52.767,c75a57e1-4ebf-436b-a58b-9941de6dc964,America/Chihuahua,0,2,c75a57e1-4ebf-436b-a58b-9941de6dc964.compressed_content.json,0,X,1576393200000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-03-16 22:27:16.691,2019-03-10 22:23:52.579,47833ff2-e3e6-49bd-9431-2801970536e6,America/Mazatlan,0,2,47833ff2-e3e6-49bd-9431-2801970536e6.compressed_content.json,0,X,1551596400000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-05-11 21:24:02.713,2019-05-05 21:23:46.130,604d1d82-e720-49e0-9df8-e971b6ef770c,America/Chihuahua,0,2,604d1d82-e720-49e0-9df8-e971b6ef770c.compressed_content.json,0,X,1556431200000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-11-10 21:24:42.404,2019-11-10 21:24:39.223,c2543ac8-e9da-4647-beaa-c956a8595354,America/Mexico_City,0,2,c2543ac8-e9da-4647-beaa-c956a8595354.compressed_content.json,0,X,1572760800000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-04 20:24:03.069,2019-06-02 20:24:25.630,112a3af4-a3a5-43ca-bfa9-969abe8374f8,America/Mexico_City,0,2,112a3af4-a3a5-43ca-bfa9-969abe8374f8.compressed_content.json,0,X,1558846800000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-09-21 20:24:13.003,2019-09-18 20:24:01.207,20b5119b-abd4-468b-a8b6-724b52ffba80,America/Mexico_City,0,2,20b5119b-abd4-468b-a8b6-724b52ffba80.compressed_content.json,0,X,1567918800000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-09-07 20:27:17.745,2019-09-01 20:26:02.638,649ca6d2-1628-457e-acca-675a691bd8a0,America/Mexico_City,0,2,649ca6d2-1628-457e-acca-675a691bd8a0.compressed_content.json,0,X,1566709200000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-12-01 21:23:43.316,2019-12-01 21:23:42.224,83a7721c-d649-46d6-8232-92a4d56d2f8f,America/Mexico_City,0,2,83a7721c-d649-46d6-8232-92a4d56d2f8f.compressed_content.json,0,X,1574575200000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-03-22 22:23:40.586,2019-03-17 22:48:59.095,7fdf7cdd-e2b0-4918-b3c1-a2c07bdd06b5,America/Mazatlan,0,2,7fdf7cdd-e2b0-4918-b3c1-a2c07bdd06b5.compressed_content.json,0,X,1552201200000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-09-28 20:23:28.488,2019-09-22 20:46:46.476,8fefb3a9-44b1-479f-8d71-217cadc039d3,America/Mexico_City,0,2,8fefb3a9-44b1-479f-8d71-217cadc039d3.compressed_content.json,0,X,1568523600000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-08-17 20:24:41.536,2019-08-11 20:23:26.053,14c0d466-9d6e-48b2-987f-dcd7e4c9ef79,America/Mexico_City,0,2,14c0d466-9d6e-48b2-987f-dcd7e4c9ef79.compressed_content.json,0,X,1564894800000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-07-24 21:23:27.373,2019-07-21 21:25:01.124,7fbd967b-9aac-4695-bfb3-2004fd35e146,America/Chihuahua,0,2,7fbd967b-9aac-4695-bfb3-2004fd35e146.compressed_content.json,0,X,1563084000000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-06-08 21:24:11.519,2019-06-05 21:25:41.923,bfa98dd9-f49c-42e6-bb5b-146d04c3c690,America/Chihuahua,0,2,bfa98dd9-f49c-42e6-bb5b-146d04c3c690.compressed_content.json,0,X,1558850400000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-04-19 20:23:27.033,2019-04-15 20:24:01.036,f3832411-9c45-4a0a-8cca-9734634b44bc,America/Mexico_City,0,2,f3832411-9c45-4a0a-8cca-9734634b44bc.compressed_content.json,0,X,1554616800000,eL5K8TBQJK,
com.sec.android.app.shealth,2020-01-13 21:23:29.657,2020-01-13 21:23:29.657,bcc97c55-cb5e-4307-8c5a-055c50c98936,America/Mexico_City,0,2,bcc97c55-cb5e-4307-8c5a-055c50c98936.compressed_content.json,0,X,1578204000000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-12-08 21:23:38.834,2019-12-08 21:23:37.184,9349470c-3d63-425b-a487-f912ca4802da,America/Mexico_City,0,2,9349470c-3d63-425b-a487-f912ca4802da.compressed_content.json,0,X,1575180000000,eL5K8TBQJK,
com.sec.android.app.shealth,2020-01-05 22:27:49.192,2020-01-05 22:27:47.470,491602a8-53da-4de1-8ebd-b21a7c2e663b,America/Chihuahua,0,2,491602a8-53da-4de1-8ebd-b21a7c2e663b.compressed_content.json,0,X,1577602800000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-02-09 22:23:29.483,2019-02-03 22:23:39.448,7935db9c-2756-481e-888c-b85c8f5c3224,America/Mazatlan,0,2,7935db9c-2756-481e-888c-b85c8f5c3224.compressed_content.json,0,X,1548572400000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-09-14 21:24:40.459,2019-09-14 20:23:25.115,80dc3edb-12b2-4479-9eb5-7c0aaf5a65b4,America/Chihuahua,0,2,80dc3edb-12b2-4479-9eb5-7c0aaf5a65b4.compressed_content.json,0,X,1567317600000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-05-04 21:23:26.570,2019-04-28 21:24:25.017,51317048-4896-48aa-9987-ca95d4a20de7,America/Chihuahua,0,2,51317048-4896-48aa-9987-ca95d4a20de7.compressed_content.json,0,X,1555826400000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-04-06 22:23:57.761,2019-03-31 22:24:45.569,64befdee-0603-4a67-9044-3ed06f34e946,America/Mazatlan,0,2,64befdee-0603-4a67-9044-3ed06f34e946.compressed_content.json,0,X,1553410800000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-11-03 22:26:37.429,2019-11-03 22:26:35.512,2e4bbe68-691f-41cc-b457-d9a0e7ede6d6,America/Chihuahua,0,2,2e4bbe68-691f-41cc-b457-d9a0e7ede6d6.compressed_content.json,0,X,1572156000000,eL5K8TBQJK,
com.sec.android.app.shealth,2019-04-27 21:23:42.446,2019-04-21 21:24:01.339,5d934566-d4eb-43e9-b5d2-c13b64a8378a,America/Chihuahua,0,2,5d934566-d4eb-43e9-b5d2-c13b64a8378a.compressed_content.json,0,X,1555221600000,eL5K8TBQJK,
