com.samsung.shealth.exercise.weather,6100041,3
sunset_time,exercise_id,latitude,temperature_scale,type,deviceuuid,update_time,uv_index,icon_info_id,datauuid,sundown_time,content_provider,temperature,humidity,wind_speed,longitude,create_time,time_offset,wind_speed_unit,custom,wind_direction,start_time,pkg_name,phrase,forecast_time
,f3c65546-f22a-ede1-ce14-8f6e01105da4,19.342154,1,0,hytsFLPcD3,2019-10-20 00:42:49.444,0.0,19,1adf2171-e491-e01e-c33e-400ce0966716,,TWC,21.0,64,,-99.19484,2019-10-20 00:42:49.444,UTC+0100,,,,2019-10-20 00:24:54.490,com.sec.android.app.shealth,Parcialmente nublado,,
,b403d416-d51a-8a29-a789-c1d6e70b2907,19.3431,1,0,hytsFLPcD3,2019-08-22 01:27:07.077,0.0,3,026814d8-c31a-dcd9-3750-ef4c7ff6e563,,TWC,19.0,58,,-99.19929,2019-08-22 01:27:07.077,UTC+0100,,,,2019-08-22 01:12:33.460,com.sec.android.app.shealth,Mayormente nublado,,
,ad4fa908-5c2d-88c2-9284-4ce6d3e83642,19.344402,1,0,hytsFLPcD3,2019-12-12 23:09:43.336,0.0,2,95a805b2-d2fe-2dfd-6ec7-05906b667657,,TWC,21.0,27,,-99.20046,2019-12-12 23:09:43.336,UTC+0100,,,,2019-12-12 22:54:26.090,com.sec.android.app.shealth,Parcialmente nublado,,
0,11055663-f8c5-4d3b-8c53-a9c7b6f9dfef,19.346348,1,1,eL5K8TBQJK,2019-06-03 22:35:13.659,,3,6759596b-2148-46f1-9266-ed1a5c2116e0,0,TWC,21.0,59,18.0,-99.19839,2019-06-03 22:35:13.659,UTC-0400,km/h,,NNE. 30,2019-06-03 22:35:13.658,com.sec.android.app.shealth,Nublado,0,
,cace889c-8443-0a82-80c6-228f2d392dc3,19.343807,1,0,hytsFLPcD3,2019-09-05 01:42:29.030,0.0,3,ca08d894-7de4-77a0-9c8f-52e30b582411,,TWC,18.0,66,,-99.19922,2019-09-05 01:42:29.030,UTC+0100,,,,2019-09-05 01:20:43.570,com.sec.android.app.shealth,Nublado,,
0,b5c7c5ba-e39c-4a69-bbf7-cacca6fa6c71,19.347664,1,1,eL5K8TBQJK,2019-10-13 19:03:30.642,,1,11b65ceb-ddaa-4b48-8be0-7d08314dddd5,0,TWC,24.0,49,0.0,-99.2015,2019-10-13 19:03:30.642,UTC-0400,km/h,,NE. 50,2019-10-13 19:03:30.615,com.sec.android.app.shealth,Soleado,0,
0,17102036-909e-4d21-8d38-77854023081a,24.814983,1,1,eL5K8TBQJK,2019-05-11 23:00:46.808,,1,8ad6bcb6-b04b-4f4c-a9cd-2fa167771361,0,TWC,33.0,27,23.0,-107.38839,2019-05-11 23:00:46.808,UTC-0500,km/h,,O. 260,2019-05-11 23:00:46.805,com.sec.android.app.shealth,Soleado,0,
,ccf0b590-23b2-b9a2-5689-03474ae1d6e1,24.815012,1,0,hytsFLPcD3,2019-12-23 21:52:46.428,2.0,1,98b4b8de-3274-dd8f-7294-a05b963525ab,,TWC,31.0,29,,-107.399704,2019-12-23 21:52:46.428,UTC+0100,,,,2019-12-23 21:41:04.000,com.sec.android.app.shealth,Soleado,,
,160da5f7-fbc3-b977-bca6-6e0cb5f092b0,19.342564,1,0,hytsFLPcD3,2019-12-14 18:28:47.354,7.0,1,b5ad2d4f-1df0-202f-c485-c88381f9b0ab,,TWC,21.0,29,,-99.198685,2019-12-14 18:28:47.354,UTC+0100,,,,2019-12-14 18:14:22.440,com.sec.android.app.shealth,Soleado,,
,72431f0f-d7fb-920e-7337-702ecc8622d1,19.342056,1,0,hytsFLPcD3,2019-08-27 01:41:36.362,0.0,3,9a326ec8-46b7-ae47-7068-dffc61028175,,TWC,18.0,64,,-99.19939,2019-08-27 01:41:36.362,UTC+0100,,,,2019-08-27 01:28:56.750,com.sec.android.app.shealth,Nublado,,
