com.samsung.shealth.tracker.pedometer_day_summary,6100041,5
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2019-01-22 07:32:40.735,3002.9,076d404a-e65a-4648-a680-8921d181a4ca.achievement.json,3699,6000,1548115200000,1.5940088,VfS0qUERdZ,1883866,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-01-23 06:41:50.465,3619,076d404a-e65a-4648-a680-8921d181a4ca.binning_data.json,076d404a-e65a-4648-a680-8921d181a4ca,151.04,80,076d404a-e65a-4648-a680-8921d181a4ca.source_info.json,0,
2019-04-14 07:51:18.469,4291.58,85a5efad-8a97-44b6-a0a3-6e055ae47774.achievement.json,5291,6000,1555200000000,1.6181272,VfS0qUERdZ,2652189,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-04-15 05:00:03.454,5023,85a5efad-8a97-44b6-a0a3-6e055ae47774.binning_data.json,85a5efad-8a97-44b6-a0a3-6e055ae47774,205.92,268,85a5efad-8a97-44b6-a0a3-6e055ae47774.source_info.json,0,
2019-05-28 08:21:20.685,4157.93,25908e96-30bc-4137-ac7f-d1c312aa2b81.achievement.json,5316,6000,1559001600000,1.5628603,VfS0qUERdZ,2660461,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-29 03:12:25.830,5210,25908e96-30bc-4137-ac7f-d1c312aa2b81.binning_data.json,25908e96-30bc-4137-ac7f-d1c312aa2b81,197.37,106,25908e96-30bc-4137-ac7f-d1c312aa2b81.source_info.json,0,
2019-03-03 07:00:05.068,7015.35,09ae07ea-60a2-443f-afd6-c043f87db542.achievement.json,8380,6000,1551484800000,6.944445,eL5K8TBQJK,4103956,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-03-03 07:00:05.068,8046,09ae07ea-60a2-443f-afd6-c043f87db542.binning_data.json,09ae07ea-60a2-443f-afd6-c043f87db542,340.43,334,,0,
2019-04-16 05:00:02.414,3776.47,999dcf32-bd54-4f9b-9e6b-b26871bcd912.achievement.json,4858,6000,1555286400000,4.111111,eL5K8TBQJK,2621192,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-04-16 05:00:02.414,4823,999dcf32-bd54-4f9b-9e6b-b26871bcd912.binning_data.json,999dcf32-bd54-4f9b-9e6b-b26871bcd912,184.14,35,,0,
2019-04-03 07:00:02.054,4841.84,123373a6-bcbf-4ce0-9d4d-8c65b67bd28f.achievement.json,6019,6000,1554163200000,6.4012327,eL5K8TBQJK,2963148,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-04-03 07:00:02.054,5826,123373a6-bcbf-4ce0-9d4d-8c65b67bd28f.binning_data.json,123373a6-bcbf-4ce0-9d4d-8c65b67bd28f,230.95,193,,0,
2019-01-20 07:00:01.922,4306.7,7bf1ab13-cdc2-44f4-a9e8-716ae67d7145.achievement.json,5467,6000,1547856000000,3.6944444,eL5K8TBQJK,2757464,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-01-20 07:00:01.922,5298,7bf1ab13-cdc2-44f4-a9e8-716ae67d7145.binning_data.json,7bf1ab13-cdc2-44f4-a9e8-716ae67d7145,211.10999,169,,0,
2019-02-04 07:11:16.177,3777.43,16c6a005-b80b-4f3a-b9b0-176b1846fe1e.achievement.json,4704,6000,1549152000000,4.638889,eL5K8TBQJK,2349213,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-02-04 07:11:16.177,4593,16c6a005-b80b-4f3a-b9b0-176b1846fe1e.binning_data.json,16c6a005-b80b-4f3a-b9b0-176b1846fe1e,181.37,111,,0,
2019-03-09 07:08:37.415,4804.42,b5613cdf-5df8-4ea7-a97b-d209b2723c84.achievement.json,6108,6000,1552089600000,1.5515474,VfS0qUERdZ,3096534,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-03-10 06:55:14.817,6006,b5613cdf-5df8-4ea7-a97b-d209b2723c84.binning_data.json,b5613cdf-5df8-4ea7-a97b-d209b2723c84,229.86998,102,b5613cdf-5df8-4ea7-a97b-d209b2723c84.source_info.json,0,
2019-07-21 06:00:02.240,4146.85,f4ec7761-5693-4727-a54d-8947ed7ca589.achievement.json,5267,6000,1563580800000,6.944443,eL5K8TBQJK,2616598,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-07-21 06:00:02.240,5211,f4ec7761-5693-4727-a54d-8947ed7ca589.binning_data.json,f4ec7761-5693-4727-a54d-8947ed7ca589,186.61998,56,,1380,
2019-01-30 19:06:10.702,2982.38,b623f512-5ae7-49f2-8989-6039937806de.achievement.json,3853,6000,1548806400000,3.7072585,eL5K8TBQJK,1969155,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-01-31 07:00:04.147,3807,b623f512-5ae7-49f2-8989-6039937806de.binning_data.json,b623f512-5ae7-49f2-8989-6039937806de,142.35999,46,,0,
2019-07-21 08:30:24.098,2278.7,1bf0621a-94d2-485a-b0b0-6e4428f21b8c.achievement.json,3574,6000,1563667200000,3.1944444,hytsFLPcD3,2034848,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-07-22 08:55:08.358,3554,1bf0621a-94d2-485a-b0b0-6e4428f21b8c.binning_data.json,1bf0621a-94d2-485a-b0b0-6e4428f21b8c,113.43,20,,0,
2019-06-03 11:30:23.186,12120.39,edd28470-449f-41b3-a04d-ce51965f66b8.achievement.json,15175,6000,1559520000000,1.6383815,VfS0qUERdZ,7397782,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-06-04 04:49:31.008,14411,edd28470-449f-41b3-a04d-ce51965f66b8.binning_data.json,edd28470-449f-41b3-a04d-ce51965f66b8,549.52997,764,edd28470-449f-41b3-a04d-ce51965f66b8.source_info.json,0,
2019-05-04 06:00:01.511,4369.2603,b3c33877-39c8-425b-98d0-a0163bcb6f57.achievement.json,5641,6000,1556841600000,3.7174904,eL5K8TBQJK,2952095,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-04 06:00:01.511,5589,b3c33877-39c8-425b-98d0-a0163bcb6f57.binning_data.json,b3c33877-39c8-425b-98d0-a0163bcb6f57,210.09999,52,,0,
2019-01-14 07:00:03.404,5253.79,4c7a6be4-7c64-40b0-89d7-cfb34f2c5228.achievement.json,6657,6000,1547337600000,6.944443,eL5K8TBQJK,3526397,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-01-14 07:00:03.404,6565,4c7a6be4-7c64-40b0-89d7-cfb34f2c5228.binning_data.json,4c7a6be4-7c64-40b0-89d7-cfb34f2c5228,250.87999,92,,0,
2019-02-13 13:27:35.474,3436.13,f0fe88d5-7472-40e8-99c5-1f8bba976d6b.achievement.json,3842,6000,1550016000000,1.9073684,VfS0qUERdZ,1801502,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-02-14 05:15:33.848,3518,f0fe88d5-7472-40e8-99c5-1f8bba976d6b.binning_data.json,f0fe88d5-7472-40e8-99c5-1f8bba976d6b,185.2,324,f0fe88d5-7472-40e8-99c5-1f8bba976d6b.source_info.json,0,
2019-05-25 06:00:05.887,6159.56,8b7cc719-d980-4b06-94ae-9cad550f7436.achievement.json,7810,6000,1558656000000,4.861111,eL5K8TBQJK,4013408,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-25 06:00:05.887,7593,8b7cc719-d980-4b06-94ae-9cad550f7436.binning_data.json,8b7cc719-d980-4b06-94ae-9cad550f7436,291.55,217,,0,
2019-02-25 07:08:03.384,2030.5599,41fced07-d088-4ee5-820a-3d0c6536612b.achievement.json,2538,6000,1551052800000,1.6329697,VfS0qUERdZ,1243476,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-02-26 06:10:33.184,2475,41fced07-d088-4ee5-820a-3d0c6536612b.binning_data.json,41fced07-d088-4ee5-820a-3d0c6536612b,97.77,63,41fced07-d088-4ee5-820a-3d0c6536612b.source_info.json,0,
2019-03-18 07:00:03.866,2054.91,ff799178-6d1f-48cc-97f6-6fbaef8c139a.achievement.json,2542,6000,1552780800000,5.1666665,eL5K8TBQJK,1322276,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-03-18 07:00:03.866,2485,ff799178-6d1f-48cc-97f6-6fbaef8c139a.binning_data.json,ff799178-6d1f-48cc-97f6-6fbaef8c139a,102.399994,57,,0,
2019-06-21 16:39:00.516,3742.08,84bdfad1-4cf7-46b3-92a6-9d392850ed75.achievement.json,4701,6000,1561075200000,1.5608659,VfS0qUERdZ,2397438,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-06-23 06:00:04.330,4620,84bdfad1-4cf7-46b3-92a6-9d392850ed75.binning_data.json,84bdfad1-4cf7-46b3-92a6-9d392850ed75,177.90999,81,84bdfad1-4cf7-46b3-92a6-9d392850ed75.source_info.json,0,
2019-01-15 07:00:02.884,3489.17,d6847e78-b048-4eee-960a-e87cfa2fe40b.achievement.json,4478,6000,1547510400000,3.6111114,eL5K8TBQJK,2343951,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-01-16 07:13:42.990,4402,d6847e78-b048-4eee-960a-e87cfa2fe40b.binning_data.json,d6847e78-b048-4eee-960a-e87cfa2fe40b,167.84,76,,0,
2019-05-20 06:00:01.978,1355.97,5eefc59c-a214-4773-8f69-b3ae946a5336.achievement.json,1764,6000,1558224000000,2.9444447,eL5K8TBQJK,928171,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-20 06:00:01.978,1756,5eefc59c-a214-4773-8f69-b3ae946a5336.binning_data.json,5eefc59c-a214-4773-8f69-b3ae946a5336,65.409996,8,,0,
2019-07-08 08:11:40.260,2853.23,37714b51-8a1d-4db5-84dc-d9edd300a776.achievement.json,3544,6000,1562544000000,1.6419035,VfS0qUERdZ,1737757,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-07-09 05:35:09.542,3471,37714b51-8a1d-4db5-84dc-d9edd300a776.binning_data.json,37714b51-8a1d-4db5-84dc-d9edd300a776,133.15,73,37714b51-8a1d-4db5-84dc-d9edd300a776.source_info.json,0,
2019-06-29 07:55:53.102,4564.79,94857ca4-847a-4cd8-9c76-4b0b2776518b.achievement.json,5858,6000,1561766400000,1.4802452,VfS0qUERdZ,3083806,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-07-01 06:00:04.753,5825,94857ca4-847a-4cd8-9c76-4b0b2776518b.binning_data.json,94857ca4-847a-4cd8-9c76-4b0b2776518b,214.48,33,94857ca4-847a-4cd8-9c76-4b0b2776518b.source_info.json,0,
2019-06-18 17:00:53.491,3981.3599,5b8dd91f-d3be-4b12-82a2-f790ebf836a6.achievement.json,5062,6000,1560816000000,1.5262369,VfS0qUERdZ,2608612,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-06-19 05:57:58.778,4962,5b8dd91f-d3be-4b12-82a2-f790ebf836a6.binning_data.json,5b8dd91f-d3be-4b12-82a2-f790ebf836a6,186.54999,100,5b8dd91f-d3be-4b12-82a2-f790ebf836a6.source_info.json,0,
2019-07-04 22:25:21.940,16176.88,a323e1c3-fb31-4592-8293-dc0ffbcb3b34.achievement.json,19744,6000,1562198400000,6.9444447,eL5K8TBQJK,9794341,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-07-05 05:00:02.916,18811,a323e1c3-fb31-4592-8293-dc0ffbcb3b34.binning_data.json,a323e1c3-fb31-4592-8293-dc0ffbcb3b34,770.83997,933,,1233,
2019-04-28 06:59:49.974,1527.2,b2329b67-add1-4eb9-8949-949a367be522.achievement.json,1881,6000,1556409600000,1.6857862,VfS0qUERdZ,905927,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-04-29 04:45:14.570,1847,b2329b67-add1-4eb9-8949-949a367be522.binning_data.json,b2329b67-add1-4eb9-8949-949a367be522,71.52,34,b2329b67-add1-4eb9-8949-949a367be522.source_info.json,0,
2019-07-02 05:00:15.056,10942.72,94f77293-97b8-45e4-8356-cb349495767b.achievement.json,13167,6000,1562025600000,6.9444447,eL5K8TBQJK,6516662,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-07-03 05:00:01.714,12681,94f77293-97b8-45e4-8356-cb349495767b.binning_data.json,94f77293-97b8-45e4-8356-cb349495767b,516.47,486,,0,
2019-05-20 12:31:13.760,3046.6,89abbcaa-934d-486b-9ac5-74e3dd432689.achievement.json,3927,6000,1558310400000,1.4988819,VfS0qUERdZ,2032581,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-21 05:44:29.935,3896,89abbcaa-934d-486b-9ac5-74e3dd432689.binning_data.json,89abbcaa-934d-486b-9ac5-74e3dd432689,149.80998,31,89abbcaa-934d-486b-9ac5-74e3dd432689.source_info.json,0,
2019-01-12 07:02:38.615,3402.01,9b288f16-3118-4c08-bed6-ec775e411a5b.achievement.json,4148,6000,1547251200000,5.21202,eL5K8TBQJK,2008681,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-01-13 07:00:01.753,3979,9b288f16-3118-4c08-bed6-ec775e411a5b.binning_data.json,9b288f16-3118-4c08-bed6-ec775e411a5b,159.51,169,,0,
2019-04-07 07:00:01.914,4038.04,2cf1c446-847a-48d1-a53c-5e0524fa716a.achievement.json,5073,6000,1554508800000,3.6944444,eL5K8TBQJK,2589798,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-04-07 07:00:01.914,4972,2cf1c446-847a-48d1-a53c-5e0524fa716a.binning_data.json,2cf1c446-847a-48d1-a53c-5e0524fa716a,191.69,101,,0,
2019-07-20 06:00:03.057,3835.22,57415a57-276c-4017-83e0-980e021e0d0a.achievement.json,4827,6000,1563494400000,4.0555553,eL5K8TBQJK,2480454,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-07-20 06:00:03.057,4786,57415a57-276c-4017-83e0-980e021e0d0a.binning_data.json,57415a57-276c-4017-83e0-980e021e0d0a,173.47,41,,0,
2019-05-04 06:03:23.142,1209.51,c13abd6a-3995-42df-a3b5-892d23f53944.achievement.json,1504,6000,1556928000000,1.6136843,VfS0qUERdZ,749533,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-05 04:05:08.494,1447,c13abd6a-3995-42df-a3b5-892d23f53944.binning_data.json,c13abd6a-3995-42df-a3b5-892d23f53944,59.87,57,c13abd6a-3995-42df-a3b5-892d23f53944.source_info.json,0,
2019-02-24 13:15:39.884,3994.69,363ea29b-002b-42ef-bdf9-58fa01d6390e.achievement.json,5065,6000,1550966400000,1.538233,VfS0qUERdZ,2596934,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-02-25 06:52:51.138,4994,363ea29b-002b-42ef-bdf9-58fa01d6390e.binning_data.json,363ea29b-002b-42ef-bdf9-58fa01d6390e,190.89,71,363ea29b-002b-42ef-bdf9-58fa01d6390e.source_info.json,0,
2019-05-10 06:00:02.135,3572.7,0e517be3-32a4-4e0e-bf42-362e33bf875f.achievement.json,4035,6000,1557360000000,6.9444447,eL5K8TBQJK,1773724,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-10 06:00:02.135,3657,0e517be3-32a4-4e0e-bf42-362e33bf875f.binning_data.json,0e517be3-32a4-4e0e-bf42-362e33bf875f,174.98999,378,,0,
2019-07-14 06:00:03.282,5357.09,fcc8d414-e288-444e-ba51-a861e6ff059d.achievement.json,6604,6000,1562976000000,4.388889,eL5K8TBQJK,3285558,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-07-14 06:11:32.460,6466,fcc8d414-e288-444e-ba51-a861e6ff059d.binning_data.json,fcc8d414-e288-444e-ba51-a861e6ff059d,251.94998,138,,0,
2019-06-09 06:00:02.725,2392.72,bfe741b4-d3b8-4d2e-9610-3e98d350451d.achievement.json,3045,6000,1559952000000,3.6388888,eL5K8TBQJK,1450470,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-06-09 06:00:02.725,3005,bfe741b4-d3b8-4d2e-9610-3e98d350451d.binning_data.json,bfe741b4-d3b8-4d2e-9610-3e98d350451d,115.03999,40,,0,
2019-02-21 07:00:04.608,3056.9202,f441639f-5fd5-48ee-950a-e2545489bc98.achievement.json,3791,6000,1550620800000,5.694445,eL5K8TBQJK,1867032,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-02-21 07:00:04.608,3675,f441639f-5fd5-48ee-950a-e2545489bc98.binning_data.json,f441639f-5fd5-48ee-950a-e2545489bc98,144.68999,116,,0,
2019-06-05 06:53:55.124,3465.75,6765a445-51db-4d4a-ada2-1766f294e2f8.achievement.json,4364,6000,1559692800000,1.6125253,VfS0qUERdZ,2149268,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-06-06 05:47:48.906,4257,6765a445-51db-4d4a-ada2-1766f294e2f8.binning_data.json,6765a445-51db-4d4a-ada2-1766f294e2f8,162.34999,107,6765a445-51db-4d4a-ada2-1766f294e2f8.source_info.json,0,
2019-05-08 07:24:07.876,5508.55,78858b04-07c8-419c-b1ce-40c9a82522ab.achievement.json,6962,6000,1557273600000,1.5601977,VfS0qUERdZ,3530674,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-05-09 04:46:37.552,6833,78858b04-07c8-419c-b1ce-40c9a82522ab.binning_data.json,78858b04-07c8-419c-b1ce-40c9a82522ab,256.41998,129,78858b04-07c8-419c-b1ce-40c9a82522ab.source_info.json,0,
2019-02-20 13:11:51.072,3056.9202,0a8c5688-bdca-4d3e-8794-ed1871af0572.achievement.json,3791,6000,1550620800000,1.6372653,VfS0qUERdZ,1867088,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-02-21 05:35:47.098,3675,0a8c5688-bdca-4d3e-8794-ed1871af0572.binning_data.json,0a8c5688-bdca-4d3e-8794-ed1871af0572,144.68999,116,0a8c5688-bdca-4d3e-8794-ed1871af0572.source_info.json,0,
2019-01-24 07:00:03.469,2691.69,823a0758-834e-4e77-9296-8c2431ea8aa9.achievement.json,3351,6000,1548201600000,3.6513665,eL5K8TBQJK,1646288,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-01-24 07:00:03.469,3271,823a0758-834e-4e77-9296-8c2431ea8aa9.binning_data.json,823a0758-834e-4e77-9296-8c2431ea8aa9,126.71,80,,0,
2019-06-15 06:01:23.098,2840.84,efec4741-06e4-4c5f-be73-d994ed4d12ff.achievement.json,3619,6000,1560556800000,1.5285654,VfS0qUERdZ,1858500,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-06-17 06:00:02.244,3569,efec4741-06e4-4c5f-be73-d994ed4d12ff.binning_data.json,efec4741-06e4-4c5f-be73-d994ed4d12ff,136.52,50,efec4741-06e4-4c5f-be73-d994ed4d12ff.source_info.json,0,
2019-02-12 07:14:56.954,3241.83,027ade40-8810-4f18-9394-2de261f0557e.achievement.json,4036,6000,1549929600000,1.6818954,VfS0qUERdZ,1927486,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-02-13 04:46:18.134,3856,027ade40-8810-4f18-9394-2de261f0557e.binning_data.json,027ade40-8810-4f18-9394-2de261f0557e,161.72,180,027ade40-8810-4f18-9394-2de261f0557e.source_info.json,0,
2019-01-25 07:00:03.422,7882.12,a87c9588-34e5-43e2-85e4-df7e31ba5c15.achievement.json,8692,6000,1548288000000,6.9444447,eL5K8TBQJK,3902210,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-01-25 07:00:03.422,6548,a87c9588-34e5-43e2-85e4-df7e31ba5c15.binning_data.json,a87c9588-34e5-43e2-85e4-df7e31ba5c15,421.91,2144,,3294,
2019-06-24 06:00:02.352,2697.21,93c06c0d-13e5-4a76-9617-a782f9c97a0f.achievement.json,3401,6000,1561248000000,3.8480422,eL5K8TBQJK,1640203,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-06-24 06:00:02.352,3353,93c06c0d-13e5-4a76-9617-a782f9c97a0f.binning_data.json,93c06c0d-13e5-4a76-9617-a782f9c97a0f,121.399994,48,,0,
